scheme_id,scheme_name,government_level,categories,business_categories,eligibility_criteria,eligibility_questions,source_url,application_url
PMMY,Pradhan Mantri MUDRA Yojana (PMMY),Central,Finance;MSME;Entrepreneurship,Agriculture;Dairy;Poultry;Food Business;Retail Shop;Textile;Manufacturing;Digital Services;Transport;Fisheries,"Individual applicants with a business plan for income-generating micro/small businesses in manufacturing, trading, services and activities allied to agriculture. Tarun Plus additionally requires successful repayment of a previous Tarun loan.","Do you have or plan an income-generating micro business?;What business activity?;Do you need a business loan?;For Tarun Plus, did you successfully repay a Tarun loan?",https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy
PMEGP,Prime Minister's Employment Generation Programme (PMEGP),Central,MSME;Entrepreneurship;Employment,Agriculture;Dairy;Poultry;Food Business;Retail Shop;Textile;Manufacturing;Digital Services;Transport;Fisheries,"Individual applicant above 18. No income ceiling for new projects. For projects above ₹10 lakh manufacturing or ₹5 lakh business/service, at least VIII-standard pass is required. Assistance is for new PMEGP projects; existing units already assisted under specified government schemes are not eligible for new-unit assistance.","Are you 18 or older?;Is this a new enterprise?;What is the project cost?;For higher-cost projects, have you passed Class 8?",https://www.pmegp.msme.gov.in/Home/TermsAndConditions,https://www.kviconline.gov.in/pmegpeportal/pmegphome/index.jsp
PMVISHWAKARMA,PM Vishwakarma,Central,Artisans;Skill;Credit;MSME,Textile;Manufacturing;Retail Shop,"Applicant must be an artisan/craftsperson working with hands and tools in one of 18 notified traditional trades, in the unorganised sector on self-employment basis; minimum age 18; actively engaged in the trade; one member per family; government employees and their family members excluded; previous similar government self-employment loans can affect eligibility.",Are you 18 or older?;Are you self-employed in a notified traditional trade?;Which trade?;Are you currently engaged in it?;Has another family member received the benefit?;Are you a government employee?,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1989108&lang=2&reg=48,https://pmvishwakarma.gov.in/
KCC,Kisan Credit Card (KCC),Central,Agriculture;Credit;Allied Activities,Agriculture;Dairy;Poultry;Fisheries,"Eligible groups include owner cultivators; tenant farmers, oral lessees and sharecroppers; and eligible farmer SHGs/JLGs. KCC also covers credit needs for allied activities such as dairy, poultry and fisheries subject to applicable norms.","Are you an owner cultivator, tenant, lessee or sharecropper?;Are you an eligible farmer SHG/JLG?;Are you undertaking agriculture or dairy/poultry/fisheries?",https://www.myscheme.gov.in/schemes/kcc,https://www.myscheme.gov.in/schemes/kcc
PMFME,Pradhan Mantri Formalisation of Micro Food Processing Enterprises (PMFME),Central + State,Food Processing;MSME;Entrepreneurship,Food Business,"For individual assistance, applicant should be above 18, at least VIII-standard pass and have ownership rights in the enterprise; enterprise may be proprietorship or partnership. Other component, ODOP, contribution and bank-finance conditions apply.",Are you 18 or older?;Have you passed Class 8?;Do you own the enterprise?;Is it an eligible food-processing activity?;Can you meet beneficiary contribution and bank-finance requirements?,https://pmfme.mofpi.gov.in/massets/documents/login/login_faq.pdf,https://pmfme.mofpi.gov.in/
STANDUP_INDIA,Stand-Up India,Central,Finance;Entrepreneurship;Women;SC/ST,Food Business;Retail Shop;Textile;Manufacturing;Digital Services;Transport;Agriculture,"Designed for SC/ST and women entrepreneurs establishing greenfield enterprises in manufacturing, services, trading or activities allied to agriculture. Exact entity ownership/control and lender conditions must be checked under current rules.","Are you a woman or SC/ST entrepreneur?;Is this a greenfield enterprise?;Which sector?;What is the project cost?;If a non-individual entity, are ownership/control conditions satisfied?",https://www.india.gov.in/category/money-taxes/subcategory/banking-insurance/details/stand-up-india-scheme,https://www.standupmitra.in/
PMKUSUM,PM-KUSUM,Central + State,Renewable Energy;Agriculture,Agriculture,"For Component-A, eligible applicants include individual farmers, groups of farmers, cooperatives, panchayats, FPOs and Water User Associations. The cited state implementation guidance requires the proposed land to be within 5 km of the nearest electricity sub-station. Other components have different rules.","Are you a farmer/group/cooperative/panchayat/FPO/WUA?;Do you have suitable land?;For Component-A, is the site within the applicable distance of a sub-station?;Which component?",https://pmkusum.up.gov.in/UP/faq.html,https://pmkusum.up.gov.in/
NLM,National Livestock Mission (NLM),Central + State,Livestock;Poultry;Entrepreneurship;Feed & Fodder,Poultry;Dairy,"Entrepreneurship components cover specified rural poultry, sheep/goat, piggery and feed/fodder activities. Eligible applicant types include individuals and organisations such as FPOs, SHGs and Section 8 companies, subject to activity-specific conditions.",Which livestock activity?;Are you an individual/FPO/SHG/Section 8 company?;Do you have required land/infrastructure?;Can you meet applicable project-finance conditions?,https://dahd.gov.in/schemes/programmes/national_livestock_mission,https://dahd.gov.in/schemes/programmes/national_livestock_mission
PMMSY,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Central + State,Fisheries;Aquaculture;Infrastructure,Fisheries,Eligibility is activity-specific. Beneficiary-oriented components can cover individuals and groups/entities in fisheries; assistance differs by activity and applicant category. Current state fisheries notifications must be checked before final eligibility.,Are you directly engaged in fisheries/aquaculture or an eligible fisheries entity?;What activity/project?;What applicant category?;Is the activity currently supported by your state?,https://www.dof.gov.in/sites/default/files/2021-12/PMMSY-Guidelines24-June2020.pdf,https://dof.gov.in/
PMFBY,Pradhan Mantri Fasal Bima Yojana (PMFBY),Central + State,Agriculture;Crop Insurance,Agriculture,Farmers including sharecroppers and tenant farmers growing notified crops in notified areas are eligible when they have insurable interest and provide required land/tenancy/crop documents. Current season and state crop notifications apply.,"Are you growing a notified crop?;Is your location/crop notified this season?;Do you have insurable interest?;Are you an owner, sharecropper or tenant with acceptable documents?",https://www.pmfby.gov.in/guidelines,https://www.pmfby.gov.in/farmerApplicationForm
